Row ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,City,State,Region,Category,Sub-Category,Cost (US dollar),Quantity,Cost-per-piece,Wait-Duration
1,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,130.98,3
2,2016-11-08,2016-11-11,Second Class,Claire Gute,Consumer,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,243.98,3
3,2016-06-12,2016-06-16,Second Class,Darrin Van Huff,Corporate,Los Angeles,California,West,Office Supplies,Labels,14.62,2,7.31,4
4,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,191.5155,7
5,2015-10-11,2015-10-18,Standard Class,Sean O'Donnell,Consumer,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,11.184,7
6,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Furnishings,48.86,7,6.98,5
7,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Art,7.28,4,1.82,5
8,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,907.152,6,151.192,5
9,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Binders,18.504,3,6.168,5
10,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,22.98,5
11,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Furniture,Tables,1706.184,9,189.576,5
12,2014-06-09,2014-06-14,Standard Class,Brosina Hoffman,Consumer,Los Angeles,California,West,Technology,Phones,911.424,4,227.856,5
13,2017-04-15,2017-04-20,Standard Class,Andrew Allen,Consumer,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,5.184,5
14,2016-12-05,2016-12-10,Standard Class,Irene Maddox,Consumer,Seattle,Washington,West,Office Supplies,Binders,407.976,3,135.992,5
15,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,13.762,4
16,2015-11-22,2015-11-26,Standard Class,Harold Pawlan,Home Office,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.848,4
17,2014-11-11,2014-11-18,Standard Class,Pete Kriz,Consumer,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,110.98,7
18,2014-05-13,2014-05-15,Second Class,Alejandro Grove,Consumer,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,27.75,2
19,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Art,8.56,2,4.28,5
20,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Technology,Phones,213.48,3,71.16,5
21,2014-08-27,2014-09-01,Second Class,Zuschuss Donatelli,Consumer,San Francisco,California,West,Office Supplies,Binders,22.72,4,5.68,5
22,2016-12-09,2016-12-13,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,2.78,4
23,2016-12-09,2016-12-13,Standard Class,Ken Black,Corporate,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,8.62,4
24,2017-07-16,2017-07-18,Second Class,Sandra Flanagan,Consumer,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,35.686,2
25,2015-09-25,2015-09-30,Standard Class,Emily Burns,Consumer,Orem,Utah,West,Furniture,Tables,1044.63,3,348.21,5
26,2016-01-16,2016-01-20,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Office Supplies,Binders,11.648,2,5.824,4
27,2016-01-16,2016-01-20,Second Class,Eric Hoffmann,Consumer,Los Angeles,California,West,Technology,Accessories,90.57,3,30.19,4
28,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,440.49,4
29,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,4.809,4
30,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,41.4,4
31,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,1.632,4
32,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,14.384,4
33,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,1.143,4
34,2015-09-17,2015-09-21,Standard Class,Tracy Blumstein,Consumer,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,7.88,4
35,2017-10-19,2017-10-23,Second Class,Matt Abelman,Home Office,Houston,Texas,Central,Office Supplies,Paper,29.472,3,9.824,4
36,2016-12-08,2016-12-10,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Technology,Phones,1097.544,7,156.792,2
37,2016-12-08,2016-12-10,First Class,Gene Hale,Corporate,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,38.184,2
38,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,12.592,4
39,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,177.4664,4
40,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Furniture,Chairs,212.058,3,70.686,4
41,2015-12-27,2015-12-31,Standard Class,Steve Nguyen,Home Office,Houston,Texas,Central,Technology,Phones,371.168,4,92.792,4
42,2017-09-10,2017-09-15,Standard Class,Linda Cazamias,Corporate,Naperville,Illinois,Central,Technology,Phones,147.168,4,36.792,5
43,2016-07-17,2016-07-22,Standard Class,Ruben Ausman,Corporate,Los Angeles,California,West,Office Supplies,Storage,77.88,2,38.94,5
45,2016-03-11,2016-03-13,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,22.99,2
46,2016-03-11,2016-03-13,First Class,Odella Nelson,Corporate,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,8.73,2
47,2014-10-20,2014-10-25,Second Class,Patrick O'Donnell,Consumer,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,52.99,5
50,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,6.37,4
51,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,12.53,4
52,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,3.08,4
53,2015-04-18,2015-04-22,Standard Class,Darren Powers,Consumer,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,89.99,4
54,2016-12-11,2016-12-17,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Office Supplies,Fasteners,15.26,7,2.18,6
55,2016-12-11,2016-12-17,Standard Class,Janet Molinari,Corporate,New York City,New York,East,Technology,Phones,1029.95,5,205.99,6
